Package Name,Class Name,Method Name,Parameter Types,Cyclomatic Complexity
org.apache.commons.cli,BasicParserTest,testShortOptionConcatenatedQuoteHandling,"No parameters",1
org.apache.commons.cli,ValuesTest,testMultipleArgValues,"No parameters",1
org.apache.commons.cli.help,AbstractHelpFormatter,getSyntaxPrefix,"No parameters",1
org.apache.commons.cli,TypeHandlerTest,createValueTestParameters,"No parameters",1
org.apache.commons.cli,OptionGroupTest,testTwoOptionsFromGroup,"No parameters",2
org.apache.commons.cli,HelpFormatter,setWidth,"int",1
org.apache.commons.cli,CommandLineTest,testHasOptionNullDeprecationHandler,"String[], Option, OptionGroup, boolean, boolean, boolean, boolean, Option",1
org.apache.commons.cli,HelpFormatterTest,testPrintSortedUsageWithNullComparator,"No parameters",1
org.apache.commons.cli.help,OptionFormatterTest,testSetLongOptPrefix,"No parameters",1
org.apache.commons.cli.help,AbstractHelpFormatter,getOptionFormatter,"Option",1
org.apache.commons.cli,Options,addOption,"String, String, boolean, String",1
org.apache.commons.cli,Option,equals,"Object",3
org.apache.commons.cli.help,OptionFormatterTest,testSetArgumentNameDelimiters,"No parameters",1
org.apache.commons.cli,TypeHandler,createURL,"String",1
org.apache.commons.cli,DefaultParser,isShortOption,"String",3
org.apache.commons.cli,OptionBuilder,hasOptionalArgs,"int",1
org.apache.commons.cli,AbstractParserTestCase,testPropertyOptionSingularValue,"No parameters",1
org.apache.commons.cli,OptionTest,testTypeObject,"No parameters",1
org.apache.commons.cli.help,Builder,setMinWidth,"int",1
org.apache.commons.cli,OptionsTest,testLong,"No parameters",1
org.apache.commons.cli,AbstractParserTestCase,testStopAtNonOptionShort,"No parameters",1
org.apache.commons.cli,TypeHandlerTest,testCreateNumber,"No parameters",1
org.apache.commons.cli,Builder,argName,"String",1
org.apache.commons.cli.help,TextStyleTests,testPad,"TextStyle, String, String",1
org.apache.commons.cli,AbstractParserTestCase,testSimpleLong,"No parameters",1
org.apache.commons.cli,HelpFormatterTest,testOptionWithoutShortFormat,"No parameters",1
org.apache.commons.cli,TypeHandlerTest,testCreateValueExistingFile,"No parameters",1
org.apache.commons.cli,PatternOptionBuilderTest,testObjectPattern,"No parameters",1
org.apache.commons.cli,CommandLineTest,assertWritten,"boolean, ByteArrayOutputStream",2
org.apache.commons.cli.example,AptHelpAppendableTest,testAppendTableTest,"No parameters",1
org.apache.commons.cli,AbstractParserTestCase,testUnrecognizedOption,"No parameters",2
org.apache.commons.cli.help,HelpFormatterTest,testToSyntaxOptionGroupTest,"No parameters",1
org.apache.commons.cli,SolrCliTest,getDefaultSolrUrl,"No parameters",1
org.apache.commons.cli,UtilTest,testStripLeadingAndTrailingQuotes,"No parameters",1
org.apache.commons.cli.help,AbstractHelpFormatter,sort,"Options",1
org.apache.commons.cli,OptionTest,testHashCode,"No parameters",1
org.apache.commons.cli.help,TextHelpAppendable,appendTitle,"CharSequence",2
org.apache.commons.cli.help,OptionFormatter,toSyntaxOption,"boolean",1
org.apache.commons.cli.help,Builder,setOptionalDelimiters,"String, String",1
org.apache.commons.cli.help,TextHelpAppendable,makeColumnQueues,"List<String>, List<TextStyle>",2
org.apache.commons.cli,HelpFormatterTest,testPrintDeprecatedOptions,"HelpFormatter, Option, String",2
org.apache.commons.cli,OptionTest,testGetValue,"No parameters",1
org.apache.commons.cli,OptionsTest,testToString,"No parameters",1
org.apache.commons.cli,Option,setConverter,"Converter<?,?>",1
org.apache.commons.cli,HelpFormatter,getOptionComparator,"No parameters",1
org.apache.commons.cli,ValueTest,testShortOptionalNArgValuesWithOption,"No parameters",1
org.apache.commons.cli,AmbiguousOptionException,createMessage,"String, Collection<String>",3
org.apache.commons.cli,OptionBuilderTest,testBuilderIsResettedAlways,"No parameters",3
org.apache.commons.cli.bug,BugCLI71Test,testGetsDefaultIfOptional,"No parameters",1
org.apache.commons.cli,PosixParser,processOptionToken,"String, boolean",3
org.apache.commons.cli,HelpFormatterTest,deprecatedOptionsProvider,"No parameters",1
org.apache.commons.cli.bug,BugsTest,test12210,"No parameters",3
org.apache.commons.cli,Builder,since,"String",1
org.apache.commons.cli.help,Builder,setScalable,"boolean",1
org.apache.commons.cli.bug,BugsTest,test13666,"No parameters",1
org.apache.commons.cli,BasicParserTest,testLongWithEqualSingleDash,"No parameters",1
org.apache.commons.cli.bug,BugsTest,test13425,"No parameters",2
org.apache.commons.cli,HelpFormatter,setNewLine,"String",1
org.apache.commons.cli,Option,getValuesList,"No parameters",1
org.apache.commons.cli,HelpFormatter,createDefaultPrintWriter,"No parameters",1
org.apache.commons.cli,DefaultParser,handleUnknownToken,"String",3
org.apache.commons.cli,DefaultParser,isOption,"String",1
org.apache.commons.cli.bug,BugCLI266Test,testOptionComparatorDefaultOrder,"No parameters",2
org.apache.commons.cli,BasicParserTest,testUnrecognizedOptionWithBursting,"No parameters",1
org.apache.commons.cli,TypeHandlerTest,testCreateFile,"No parameters",1
org.apache.commons.cli.help,OptionFormatter,getDescription,"No parameters",1
org.apache.commons.cli,DefaultParser,getMatchingLongOptions,"String",3
org.apache.commons.cli,HelpFormatterTest,testDefaultArgName,"No parameters",1
org.apache.commons.cli.help,Builder,setDeprecatedFormatFunction,"Function<Option,String>",1
org.apache.commons.cli,Option,setLongOpt,"String",1
org.apache.commons.cli.help,TextStyle,getMinWidth,"No parameters",1
org.apache.commons.cli,PatternOptionBuilderTest,testUntypedPattern,"No parameters",1
org.apache.commons.cli.bug,BugCLI266Test,testOptionComparatorInsertedOrder,"No parameters",2
org.apache.commons.cli.help,TextHelpAppendable,systemOut,"No parameters",1
org.apache.commons.cli,OptionTest,testBuilderInsufficientParams2,"No parameters",1
org.apache.commons.cli,Builder,setShowDeprecated,"Function<Option,String>",1
org.apache.commons.cli,DefaultParser,handleProperties,"Properties",8
org.apache.commons.cli.help,Util,repeat,"int, char",1
org.apache.commons.cli,ValueTest,testLongOptionalNArgValuesWithOption,"CommandLineParser",1
org.apache.commons.cli.bug,BugCLI13Test,testCLI13,"No parameters",1
org.apache.commons.cli,ValueTest,testLongNoArg,"No parameters",1
org.apache.commons.cli,DeprecatedAttributesTest,testDefaultBuilder,"No parameters",1
org.apache.commons.cli.bug,BugCLI18Test,testCLI18,"No parameters",1
org.apache.commons.cli,TypeHandlerTest,testOpenFile,"No parameters",1
org.apache.commons.cli.help,HelpFormatterTest,testDefault,"No parameters",1
org.apache.commons.cli.help,TextHelpAppendableTest,testResizeTableFormat,"No parameters",1
org.apache.commons.cli.help,TextHelpAppendable,printQueue,"Queue<String>",2
org.apache.commons.cli.help,Util,rtrim,"String",3
org.apache.commons.cli.help,TableDefinition,rows,"No parameters",1
org.apache.commons.cli,GnuParserTest,testLongWithUnexpectedArgument2,"No parameters",1
org.apache.commons.cli,GnuParserTest,testLongWithUnexpectedArgument1,"No parameters",1
org.apache.commons.cli,AbstractParserTestCase,testSingleDash,"No parameters",1
